claim_id,claim,minimum_gate,formal_nodes,current_status,what_the_formalization_would_establish,what_it_would_not_establish
C1,Every primitive spacetime-changing step is null.,G1,ZZ-008;MASTER-002,finite exact model feasible,Actual realized checkerboard increments are null.,Universality in 3+1 dimensions or continuum QFT.
C2,Subluminal motion is the coarse drift of null microscopic motion.,G1,KIN-006;ERG-002;ERG-003;MASTER-001,finite pathwise theorem feasible,A single finite/iid null history has a timelike asymptotic drift.,That nature uses this hidden process or that the mixing law is unique.
C3,The hidden model preserves Born statistics.,G1/G2,ZZ-007;ZZ-009;LIFT-003;MASTER-002;MASTER-003,checkerboard exact; generic lift conditional on base equation,Exact finite equivariance and correct marginals.,Empirical distinction from ordinary quantum theory.
C4,The invariant mass ratio is directional nonpurity.,G1/G2,KIN-007;KIN-008;MEA-007,finite theorem near-term; continuum after measure API,Variance equals m^2/E^2 and matches normalized determinant conventions.,A dynamical origin for observed masses.
C5,Mass drives actual microscopic mixing at the Compton scale.,G5,CONT-003;CONT-004;REF-004,open physical derivation,Consequences of a specified mixing generator; exact finite correlations for refresh models.,That D=alpha m or alpha=1 is forced by Dirac/Yukawa dynamics.
C6,A single realized history coarse-grains to timelike motion.,G1/G4,ERG-002;ERG-005;MASTER-001;MASTER-004,proved first for iid; general Markov/continuum open,Almost-sure coarse velocity in explicit models.,General state-dependent continuum ergodicity near nodes/massless limits.
C7,Entangled states cannot be replaced by local positive null directions.,G2,ENT-002;ENT-003;ENT-004,finite theorem feasible,Equivalence/no-go for finite product-direction representations.,That every nonlocal hidden connection must have curvature.
C8,Foliation dependence is measured by hidden-transport curvature.,G3/G4,SYNC-001;SYNC-002;SYNC-003;SYNC-005,framework feasible; decisive pilot rule-dependent,Order dependence and flatness for a named hidden transport rule.,A rule-independent equivalence between entanglement and curvature.
C9,Higgs/Yukawa mass is the internal transition block.,G3/G5,HOL-003;GRAPH-007;CONT-004,static block algebra reported; dynamical link open,Block-square and gauge covariance for a concrete finite operator.,Observed Yukawa values or a unique trajectory flip rate.
C10,The entire theory is derived from a null-supported first-order graph operator.,G5,GRAPH-004;GRAPH-005;GRAPH-006;GRAPH-008;MASTER-006,central open gate,"Support, symbol, square, and scaling for one concrete operator.",Anything if these properties are merely assumed rather than exhibited.
